Description,Amount,Appears On Your Statement As,City/State,Category,Month,Day,Parent Category,Account
AMAZON MARKEPLACE NA PA,30.42,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,"SEATTLE
WA",Merchandise & Supplies-Internet Purchase,January,20,Shopping,AMEX
MOES SOUTHWEST 10193PITTSBURGH          PA,9.95,MOES SOUTHWEST 10193PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,January,12,Food & Drinks,AMEX
TRADER JOE S #638 00PITTSBURGH          PA,169.08,TRADER JOE S #638 00PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Groceries,January,12,Groceries,AMEX
Interest Charge on Pay Over Time Purchases,71.29,Interest Charge on Pay Over Time Purchases,,Fees & Adjustments-Fees & Adjustments,January,10,Fees & Adjustments,AMEX
ASIA MILES LIMITED  HONG KONG           HK,111.62,ASIA MILES LIMITED  HONG KONG           HK,,Travel-Airline,January,6,Travel,AMEX
Amex Send: Add Money,200.0,Amex Send: Add Money,"NEW YORK
NY",Other-Miscellaneous,January,5,Miscellaneous,AMEX
HAMPTON INN BY HILTOEL SALTO,91.27,HAMPTON INN BY HILTOEL SALTO,,Travel-Lodging,January,5,,AMEX
PIGEONS PLAYING PINGWESTLAKE VILLAGE    CA,80.0,PIGEONS PLAYING PINGWESTLAKE VILLAGE    CA,"WESTLAKE VILLAGE
CA",Merchandise & Supplies-Clothing Stores,December,30,,AMEX
DISNEYPLUS          888-905-7888        CA,21.39,DISNEYPLUS          888-905-7888        CA,"BURBANK
CA",Business Services-Office Supplies,December,28,,AMEX
Platinum Digital Entertainment Credit,-20.0,Platinum Digital Entertainment Credit,"BURBANK
CA",Business Services-Office Supplies,December,28,,AMEX
Platinum Walmart+ Credit,-13.86,Platinum Walmart+ Credit,"BENTONVILLE
AR",Merchandise & Supplies-Internet Purchase,December,28,Shopping,AMEX
WALMART.COM W+ AMEX BENTONVILLE         AR,13.86,WALMART.COM W+ AMEX BENTONVILLE         AR,"BENTONVILLE
AR",Merchandise & Supplies-Internet Purchase,December,28,Shopping,AMEX
AMEX Airline Fee Reimbursement,-70.99,AMEX Airline Fee Reimbursement,"HOUSTON
TX",Travel-Airline,December,26,Travel,AMEX
AMEX Airline Fee Reimbursement,-49.01,AMEX Airline Fee Reimbursement,"HOUSTON
TX",Travel-Airline,December,26,Travel,AMEX
AplPay BT*GO PUFF*GOPHILADELPHIA        PA,28.6,AplPay BT*GO PUFF*GOPHILADELPHIA        PA,"PHILADELPHIA
PA",Merchandise & Supplies-Groceries,December,24,Groceries,AMEX
Shop Saks with Platinum Credit,50.0,Shop Saks with Platinum Credit,"ABERDEEN
MD",Merchandise & Supplies-Internet Purchase,December,24,Shopping,AMEX
UNITED AIRLINES     HOUSTON             TX,66.99,UNITED AIRLINES     HOUSTON             TX,"HOUSTON
TX",Travel-Airline,December,23,Travel,AMEX
UNITED AIRLINES     HOUSTON             TX,70.99,UNITED AIRLINES     HOUSTON             TX,"HOUSTON
TX",Travel-Airline,December,23,Travel,AMEX
CRATE&BARREL        PITTSBURGH          PA,17.07,CRATE&BARREL        PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Furnishing,December,22,,AMEX
YCC STORE 00665 0000PITTSBURGH          PA,65.48,YCC STORE 00665 0000PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-General Retail,December,22,Shopping,AMEX
OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.2,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,"SAN FRANCISCO
CA",Merchandise & Supplies-Computer Supplies,December,19,Technology & Supplies,AMEX
U-HAUL 809050       PHOENIX             AZ,101.6,U-HAUL 809050       PHOENIX             AZ,"PITTSBURGH
PA",Other-Miscellaneous,December,19,Miscellaneous,AMEX
Moxy Boston DowntownBoston              MA,122.28,Moxy Boston DowntownBoston              MA,"BOSTON
MA",Travel-Lodging,December,17,,AMEX
DELTA AIR LINES     ATLANTA,50.0,DELTA AIR LINES     ATLANTA,"ATLANTA
GA",Travel-Airline,December,16,Travel,AMEX
Moxy Boston DowntownBoston              MA,14.88,Moxy Boston DowntownBoston              MA,"BOSTON
MA",Travel-Lodging,December,16,,AMEX
Moxy Boston DowntownBoston              MA,209.61,Moxy Boston DowntownBoston              MA,"BOSTON
MA",Travel-Lodging,December,16,,AMEX
AplPay HARVARD COOP CAMBRIDGE           MA,57.96,AplPay HARVARD COOP CAMBRIDGE           MA,"CAMBRIDGE
MA",Merchandise & Supplies-Book Stores,December,14,Shopping,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,ASIA MILES LIMITED  HONG KONG           HK,,Travel-Airline,February,7,Travel,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,ASIA MILES LIMITED  HONG KONG           HK,,Travel-Airline,February,7,Travel,AMEX
Interest Charge on Pay Over Time Purchases,65.6,Interest Charge on Pay Over Time Purchases,,Fees & Adjustments-Fees & Adjustments,February,7,Fees & Adjustments,AMEX
LATE FEE,29.0,LATE FEE,,Fees & Adjustments-Fees & Adjustments,February,4,Fees & Adjustments,AMEX
ARIA - ADV SALES    877-880-0880        NV,223.81,ARIA - ADV SALES    877-880-0880        NV,"LAS VEGAS
NV",Travel-Lodging,February,1,,AMEX
DISNEYPLUS          888-905-7888        CA,21.39,DISNEYPLUS          888-905-7888        CA,"BURBANK
CA",Business Services-Office Supplies,January,28,,AMEX
Platinum Digital Entertainment Credit,-20.0,Platinum Digital Entertainment Credit,"BURBANK
CA",Business Services-Office Supplies,January,28,,AMEX
Platinum Walmart+ Credit,-13.86,Platinum Walmart+ Credit,"BENTONVILLE
AR",Merchandise & Supplies-Internet Purchase,January,28,Shopping,AMEX
WALMART.COM W+ AMEX BENTONVILLE         AR,13.86,WALMART.COM W+ AMEX BENTONVILLE         AR,"BENTONVILLE
AR",Merchandise & Supplies-Internet Purchase,January,28,Shopping,AMEX
Amex Send: Add Money,1000.0,Amex Send: Add Money,"NEW YORK
NY",Other-Miscellaneous,January,27,Miscellaneous,AMEX
SUNOCO 0062400700 00MILLVALE            PA,25.71,SUNOCO 0062400700 00MILLVALE            PA,"-
TX",Transportation-Fuel,January,27,Transportation,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,ASIA MILES LIMITED  HONG KONG           HK,,Travel-Airline,January,24,Travel,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,ASIA MILES LIMITED  HONG KONG           HK,,Travel-Airline,January,24,Travel,AMEX
ASIA MILES LIMITED  HONG KONG           HK,111.54,ASIA MILES LIMITED  HONG KONG           HK,,Travel-Airline,January,20,Travel,AMEX
OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.2,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,"SAN FRANCISCO
CA",Merchandise & Supplies-Computer Supplies,January,19,Technology & Supplies,AMEX
U-HAUL 809050       PHOENIX             AZ,101.6,U-HAUL 809050       PHOENIX             AZ,"PITTSBURGH
PA",Other-Miscellaneous,January,19,Miscellaneous,AMEX
Amex Send: Add Money,33.0,Amex Send: Add Money,"NEW YORK
NY",Other-Miscellaneous,January,12,Miscellaneous,AMEX
AplPay UBER EATS    help.uber.com       CA,50.94,AplPay UBER EATS    help.uber.com       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,January,12,Food & Drinks,AMEX
Interest Charge on Pay Over Time Purchases,49.16,Interest Charge on Pay Over Time Purchases,,Fees & Adjustments-Fees & Adjustments,January,12,Fees & Adjustments,AMEX
AplPay UBER EATS    help.uber.com       CA,45.02,AplPay UBER EATS    help.uber.com       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,January,11,Food & Drinks,AMEX
AplPay DTW 6107 ChicDetroit             MI,37.94,AplPay DTW 6107 ChicDetroit             MI,"ROMULUS
MI",Restaurant-Bar & Café,January,10,Food & Drinks,AMEX
VEREDAS             LOS CABOS BCS,40.6,VEREDAS             LOS CABOS BCS,,Transportation-Fuel,January,10,Transportation,AMEX
AplPay UBER TRIP    HTTPS://HELP.UBER.CO,4.87,AplPay UBER TRIP    HTTPS://HELP.UBER.CO,,Transportation-Taxis & Coach,January,5,Transportation,AMEX
AplPay UBER TRIP    HTTPS://HELP.UBER.CO,11.21,AplPay UBER TRIP    HTTPS://HELP.UBER.CO,,Transportation-Taxis & Coach,January,5,Transportation,AMEX
REST RUBAS BAKERY BILOS CABOS BCS,46.24,REST RUBAS BAKERY BILOS CABOS BCS,,Restaurant-Bar & Café,January,5,Food & Drinks,AMEX
SUPERCENTER CABO MARCD MEXICO,128.43,SUPERCENTER CABO MARCD MEXICO,,Merchandise & Supplies-Groceries,January,5,Groceries,AMEX
SUPERCENTER SN JOSE CD MEXICO,21.3,SUPERCENTER SN JOSE CD MEXICO,,Merchandise & Supplies-Groceries,January,5,Groceries,AMEX
VENTA A BORDO VOLARIMONTERREY           ME,6.34,VENTA A BORDO VOLARIMONTERREY           ME,,Merchandise & Supplies-General Retail,January,5,Shopping,AMEX
ATRAC EVENTOS       BENITO JUAREZ,48.74,ATRAC EVENTOS       BENITO JUAREZ,,Entertainment-General Attractions,January,4,Entertainment & Leisure,AMEX
ATRAC EVENTOS       BENITO JUAREZ,48.74,ATRAC EVENTOS       BENITO JUAREZ,,Entertainment-General Attractions,January,4,Entertainment & Leisure,AMEX
AplPay 7ELEVEN T2728TULUM QROO,2.66,AplPay 7ELEVEN T2728TULUM QROO,,Merchandise & Supplies-Groceries,January,4,Groceries,AMEX
TGI FRIDAY'S        CANCUN              ME,78.79,TGI FRIDAY'S        CANCUN              ME,,Restaurant-Bar & Café,January,4,Food & Drinks,AMEX
VENUE WIFI          MANCHESTER          GB,10.0,VENUE WIFI          MANCHESTER          GB,"MANCHESTER
ENG",Merchandise & Supplies-Computer Supplies,January,4,Technology & Supplies,AMEX
7ELEVEN T2728 ALDEA TULUM QROO,32.51,7ELEVEN T2728 ALDEA TULUM QROO,,Merchandise & Supplies-Groceries,January,3,Groceries,AMEX
AplPay HUDSON ST1808PITTSBURGH          PA,3.79,AplPay HUDSON ST1808PITTSBURGH          PA,"PITTSBURG
PA",Merchandise & Supplies-Book Stores,January,3,Shopping,AMEX
AplPay UBER EATS    help.uber.com       CA,2.0,AplPay UBER EATS    help.uber.com       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,January,3,Food & Drinks,AMEX
MEX ALLIANCE TQO    FELIPE CARRILLO PUERME,174.34,MEX ALLIANCE TQO    FELIPE CARRILLO PUERME,,Travel-Vehicle Rental,January,3,Travel,AMEX
AplPay UBER EATS    help.uber.com       CA,52.01,AplPay UBER EATS    help.uber.com       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,January,2,Food & Drinks,AMEX
UBER,28.9,AplPay Uber Trip    help.uber.com       CA,"SAN FRANCISCO
CA",Transportation-Taxis & Coach,January,1,Transportation,AMEX
WENDYS 10579 0000105PITTSBURGH          PA,32.38,WENDYS 10579 0000105PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,January,1,Food & Drinks,AMEX
AplPay TST* LAWRENCEPITTSBURGH          PA,7.93,AplPay TST* LAWRENCEPITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,31,Food & Drinks,AMEX
MCDONALD'S F70 00000PITTSBURGH          PA,14.64,MCDONALD'S F70 00000PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,31,Food & Drinks,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,36.26,TST* COOP DEVILLE 00PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,31,Food & Drinks,AMEX
AplPay BB* LAWRENCE SAN FRANCISCO       CA,21.81,AplPay BB* LAWRENCE SAN FRANCISCO       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,December,30,Food & Drinks,AMEX
AplPay Sunoco Gas   215-977-3000        TX,8.61,AplPay Sunoco Gas   215-977-3000        TX,"-
TX",Transportation-Fuel,December,30,Transportation,AMEX
GOLDEN GOAT 0000    PITTSBURGH          PA,28.89,GOLDEN GOAT 0000    PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-General Retail,December,30,Shopping,AMEX
MR SMALLS THEATRE 06MILLVALE            PA,4.0,MR SMALLS THEATRE 06MILLVALE            PA,"MILLVALE
PA",Restaurant-Restaurant,December,30,Food & Drinks,AMEX
TST* GEPPETTO CAFE APITTSBURGH          PA,38.08,TST* GEPPETTO CAFE APITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,30,Food & Drinks,AMEX
AplPay TST* THE PENNPITTSBURGH          PA,12.84,AplPay TST* THE PENNPITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,29,Food & Drinks,AMEX
BAR11               PITTSBURGH          PA,10.9,BAR11               PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,29,Food & Drinks,AMEX
BAR11               PITTSBURGH          PA,21.8,BAR11               PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,29,Food & Drinks,AMEX
AMOCO#101140024TH STPITTSBURGH          PA,5.85,AMOCO#101140024TH STPITTSBURGH          PA,"WARRENVILLE
IL",Transportation-Fuel,December,28,Transportation,AMEX
GRANDPA JOE'S CANDY Pittsburgh          PA,6.84,GRANDPA JOE'S CANDY Pittsburgh          PA,"PITTSBURGH
PA",Merchandise & Supplies-General Retail,December,28,Shopping,AMEX
MANCINI'S BREAD CO  Pittsburgh          PA,10.75,MANCINI'S BREAD CO  Pittsburgh          PA,"PITTSBURGH
PA",Merchandise & Supplies-Groceries,December,28,Groceries,AMEX
METER FEEDER INC 650BRADDOCK            PA,10.79,METER FEEDER INC 650BRADDOCK            PA,"BRADDOCK
PA",Transportation-Parking Charges,December,28,Transportation,AMEX
NYX=BAR11 6500000121PITTSBURGH          PA,1.0,NYX=BAR11 6500000121PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,28,Food & Drinks,AMEX
PENNSYLVANIA MACARONPITTSBURGH          PA,74.63,PENNSYLVANIA MACARONPITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Groceries,December,28,Groceries,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,12.24,TST* COOP DEVILLE 00PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,28,Food & Drinks,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,12.24,TST* COOP DEVILLE 00PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,28,Food & Drinks,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,20.19,TST* COOP DEVILLE 00PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,28,Food & Drinks,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,26.08,TST* COOP DEVILLE 00PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,28,Food & Drinks,AMEX
TST* ENCLAVE 0008156PITTSBURGH          PA,19.6,TST* ENCLAVE 0008156PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,28,Food & Drinks,AMEX
AplPay STARBUCKS    800-782-7282        WA,10.0,AplPay STARBUCKS    800-782-7282        WA,"SEATTLE
WA",Restaurant-Bar & Café,December,27,Food & Drinks,AMEX
PY *PRIMOHOAGIES - SPITTSBURGH          PA,37.39,PY *PRIMOHOAGIES - SPITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,27,Food & Drinks,AMEX
VAGARO_*MSTR        PITTSBURGH          PA,78.59,VAGARO_*MSTR        PITTSBURGH          PA,"PITTSBURGH
PA",Entertainment-Associations,December,27,Entertainment & Leisure,AMEX
AplPay UBER EATS    help.uber.com       CA,2.0,AplPay UBER EATS    help.uber.com       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,December,26,Food & Drinks,AMEX
AplPay UBER EATS    help.uber.com       CA,12.63,AplPay UBER EATS    help.uber.com       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,December,26,Food & Drinks,AMEX
CHIPOTLE 2655 0000  PITTSBURGH          PA,30.01,CHIPOTLE 2655 0000  PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,26,Food & Drinks,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,10.69,ARAMARK HEINZ FIELD PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Wholesale Stores,December,25,Shopping,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,13.11,ARAMARK HEINZ FIELD PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Wholesale Stores,December,25,Shopping,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,13.11,ARAMARK HEINZ FIELD PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Wholesale Stores,December,25,Shopping,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,15.61,ARAMARK HEINZ FIELD PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Wholesale Stores,December,25,Shopping,AMEX
GET GO              CRANBERRY TWP       PA,35.7,GET GO              CRANBERRY TWP       PA,"CRANBERRY TWP
PA",Transportation-Fuel,December,25,Transportation,AMEX
AplPay TST* IRON BORPITTSBURGH          PA,43.87,AplPay TST* IRON BORPITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,24,Food & Drinks,AMEX
AplPay UBER EATS    help.uber.com       CA,21.23,AplPay UBER EATS    help.uber.com       CA,"SAN FRANCISCO
CA",Restaurant-Restaurant,December,23,Food & Drinks,AMEX
TARGET        027573PITTSBURGH          PA,125.36,TARGET        027573PITTSBURGH          PA,"PITTSBURGH
PA",Merchandise & Supplies-Wholesale Stores,December,23,Shopping,AMEX
PANDA EXPRESS # 2913PITTSBURGH          PA,11.56,PANDA EXPRESS # 2913PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,22,Food & Drinks,AMEX
PRIMANTI BROS       PITTSBURGH          PA,34.08,PRIMANTI BROS       PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,22,Food & Drinks,AMEX
THREE SQUARE MARKET RIVER FALLS         WI,6.0,THREE SQUARE MARKET RIVER FALLS         WI,"MALVERN
PA",Merchandise & Supplies-Groceries,December,22,Groceries,AMEX
AplPay BT*GO PUFF*GOPHILADELPHIA        PA,32.56,AplPay BT*GO PUFF*GOPHILADELPHIA        PA,"PHILADELPHIA
PA",Merchandise & Supplies-Groceries,December,19,Groceries,AMEX
AMEX DUNKIN' CREDIT,-7.0,AMEX DUNKIN' CREDIT,"CANTON
MA",Restaurant-Bar & Café,December,18,Food & Drinks,AMEX
Amex Send: Add Money,135.0,Amex Send: Add Money,"NEW YORK
NY",Other-Miscellaneous,December,18,Miscellaneous,AMEX
AplPay DUNKIN' MOBILCANTON              MA,11.0,AplPay DUNKIN' MOBILCANTON              MA,"CANTON
MA",Restaurant-Bar & Café,December,18,Food & Drinks,AMEX
CHIPOTLE 1533 0000  PITTSBURGH          PA,12.25,CHIPOTLE 1533 0000  PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Bar & Café,December,18,Food & Drinks,AMEX
MAD MEX SHADYSIDE 00PITTSBURGH          PA,69.0,MAD MEX SHADYSIDE 00PITTSBURGH          PA,"PITTSBURGH
PA",Restaurant-Restaurant,December,17,Food & Drinks,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,AplPay MBTA-55000947BOSTON              MA,"Boston
MA",Other-Government Services,December,15,Government & Services,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,AplPay MBTA-55000947BOSTON              MA,"Boston
MA",Other-Government Services,December,15,Government & Services,AMEX
AplPay TST* TATTE BACAMBRIDGE           MA,30.13,AplPay TST* TATTE BACAMBRIDGE           MA,"CAMBRIDGE
MA",Restaurant-Restaurant,December,15,Food & Drinks,AMEX
UBER,47.15,AplPay Uber Trip    help.uber.com       CA,"SAN FRANCISCO
CA",Transportation-Taxis & Coach,December,15,Transportation,AMEX
MARATHON PETRO255158PITTSBURGH          PA,16.05,MARATHON PETRO255158PITTSBURGH          PA,"419-422-2121
OH",Transportation-Fuel,December,15,Transportation,AMEX
THE LANGHAM BOSTON  BOSTON              MA,127.0,THE LANGHAM BOSTON  BOSTON              MA,"BOSTON
MA",Restaurant-Restaurant,December,15,Food & Drinks,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,AplPay MBTA-55000947BOSTON              MA,"Boston
MA",Other-Government Services,December,14,Government & Services,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,AplPay MBTA-55000947BOSTON              MA,"Boston
MA",Other-Government Services,December,14,Government & Services,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,AplPay MBTA-55000947BOSTON              MA,"Boston
MA",Other-Government Services,December,14,Government & Services,AMEX
AplPay PTI*WNDRBOSTOCHICAGO             IL,82.0,AplPay PTI*WNDRBOSTOCHICAGO             IL,"CHICAGO
IL",Entertainment-General Attractions,December,14,Entertainment & Leisure,AMEX
BOSTONIA PUBLIC HOUSBOSTON              MA,60.05,BOSTONIA PUBLIC HOUSBOSTON              MA,"BOSTON
MA",Restaurant-Restaurant,December,14,Food & Drinks,AMEX
WNDR BOSTON         Boston              MA,4.0,WNDR BOSTON         Boston              MA,"BOSTON
MA",Merchandise & Supplies-General Retail,December,14,Shopping,AMEX
10317 CAVA DWTWN CROBOSTON              MA,18.19,10317 CAVA DWTWN CROBOSTON              MA,"BOSTON
MA",Restaurant-Bar & Café,December,13,Food & Drinks,AMEX
AplPay STARBUCKS    800-782-7282        WA,10.0,AplPay STARBUCKS    800-782-7282        WA,"SEATTLE
WA",Restaurant-Bar & Café,December,13,Food & Drinks,AMEX
THE MERCHANT KITCHENBOSTON              MA,53.5,THE MERCHANT KITCHENBOSTON              MA,"BOSTON
MA",Restaurant-Restaurant,December,13,Food & Drinks,AMEX
TST* CRAFT FOOD HALLBOSTON              MA,19.14,TST* CRAFT FOOD HALLBOSTON              MA,"BOSTON
MA",Restaurant-Restaurant,December,13,Food & Drinks,AMEX
