Description,Amount,Category,Month,Day,Action,Statement
Interest Charge on Pay Over Time Purchases,65.6,Fees,February,7,Spend,AMEX
MOBILE PAYMENT - THANK YOU,-1088.66,,February,7,Income,AMEX
LATE FEE,29.0,Fees,February,4,Spend,AMEX
ARIA - ADV SALES    877-880-0880        NV,223.81,Travel,February,1,Spend,AMEX
DISNEYPLUS          888-905-7888        CA,21.39,Shopping/Entertainment,January,28,Spend,AMEX
Platinum Digital Entertainment Credit,-20.0,Shopping/Entertainment,January,28,Income,AMEX
Platinum Walmart+ Credit,-13.86,Utility,January,28,Income,AMEX
WALMART.COM W+ AMEX BENTONVILLE         AR,13.86,Utility,January,28,Spend,AMEX
Amex Send: Add Money,1000.0,Other,January,27,Spend,AMEX
SUNOCO 0062400700 00MILLVALE            PA,25.71,Gas,January,27,Spend,AMEX
MOBILE PAYMENT - THANK YOU,-200.0,,January,25,Income,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,Travel,January,24,Income,AMEX
ASIA MILES LIMITED  HONG KONG           HK,-5.65,Travel,January,24,Income,AMEX
ASIA MILES LIMITED  HONG KONG           HK,111.54,Travel,January,20,Spend,AMEX
OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.2,Shopping/Entertainment,January,19,Spend,AMEX
U-HAUL 809050       PHOENIX             AZ,101.6,Other,January,19,Spend,AMEX
Amex Send: Add Money,33.0,Other,January,12,Spend,AMEX
AplPay UBER EATS    help.uber.com       CA,50.94,Restaurant,January,12,Spend,AMEX
Interest Charge on Pay Over Time Purchases,49.16,Fees,January,12,Spend,AMEX
AplPay UBER EATS    help.uber.com       CA,45.02,Restaurant,January,11,Spend,AMEX
AplPay DTW 6107 ChicDetroit             MI,37.94,Bar,January,10,Spend,AMEX
VEREDAS             LOS CABOS BCS,40.6,Gas,January,10,Spend,AMEX
AplPay UBER TRIP    HTTPS://HELP.UBER.CO,4.87,Uber,January,5,Spend,AMEX
AplPay UBER TRIP    HTTPS://HELP.UBER.CO,11.21,Uber,January,5,Spend,AMEX
REST RUBAS BAKERY BILOS CABOS BCS,46.24,Bar,January,5,Spend,AMEX
SUPERCENTER CABO MARCD MEXICO,128.43,Grocery,January,5,Spend,AMEX
SUPERCENTER SN JOSE CD MEXICO,21.3,Grocery,January,5,Spend,AMEX
VENTA A BORDO VOLARIMONTERREY           ME,6.34,Shopping/Entertainment,January,5,Spend,AMEX
ATRAC EVENTOS       BENITO JUAREZ,48.74,Shopping/Entertainment,January,4,Spend,AMEX
ATRAC EVENTOS       BENITO JUAREZ,48.74,Shopping/Entertainment,January,4,Spend,AMEX
AplPay 7ELEVEN T2728TULUM QROO,2.66,Grocery,January,4,Spend,AMEX
TGI FRIDAY'S        CANCUN              ME,78.79,Bar,January,4,Spend,AMEX
VENUE WIFI          MANCHESTER          GB,10.0,Shopping/Entertainment,January,4,Spend,AMEX
7ELEVEN T2728 ALDEA TULUM QROO,32.51,Grocery,January,3,Spend,AMEX
AplPay HUDSON ST1808PITTSBURGH          PA,3.79,Shopping/Entertainment,January,3,Spend,AMEX
AplPay UBER EATS    help.uber.com       CA,2.0,Restaurant,January,3,Spend,AMEX
MEX ALLIANCE TQO    FELIPE CARRILLO PUERME,174.34,Travel,January,3,Spend,AMEX
AplPay UBER EATS    help.uber.com       CA,52.01,Restaurant,January,2,Spend,AMEX
MOBILE PAYMENT - THANK YOU,-456.68,,January,2,Income,AMEX
MOBILE PAYMENT - THANK YOU,-400.0,,January,2,Income,AMEX
UBER,28.9,Uber,January,1,Spend,AMEX
WENDYS 10579 0000105PITTSBURGH          PA,32.38,Bar,January,1,Spend,AMEX
AplPay TST* LAWRENCEPITTSBURGH          PA,7.93,Restaurant,December,31,Spend,AMEX
MCDONALD'S F70 00000PITTSBURGH          PA,14.64,Bar,December,31,Spend,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,36.26,Restaurant,December,31,Spend,AMEX
AplPay BB* LAWRENCE SAN FRANCISCO       CA,21.81,Restaurant,December,30,Spend,AMEX
AplPay Sunoco Gas   215-977-3000        TX,8.61,Gas,December,30,Spend,AMEX
GOLDEN GOAT 0000    PITTSBURGH          PA,28.89,Shopping/Entertainment,December,30,Spend,AMEX
MR SMALLS THEATRE 06MILLVALE            PA,4.0,Restaurant,December,30,Spend,AMEX
TST* GEPPETTO CAFE APITTSBURGH          PA,38.08,Restaurant,December,30,Spend,AMEX
AplPay TST* THE PENNPITTSBURGH          PA,12.84,Restaurant,December,29,Spend,AMEX
BAR11               PITTSBURGH          PA,10.9,Bar,December,29,Spend,AMEX
BAR11               PITTSBURGH          PA,21.8,Bar,December,29,Spend,AMEX
AMOCO#101140024TH STPITTSBURGH          PA,5.85,Gas,December,28,Spend,AMEX
GRANDPA JOE'S CANDY Pittsburgh          PA,6.84,Shopping/Entertainment,December,28,Spend,AMEX
MANCINI'S BREAD CO  Pittsburgh          PA,10.75,Grocery,December,28,Spend,AMEX
METER FEEDER INC 650BRADDOCK            PA,10.79,Travel,December,28,Spend,AMEX
NYX=BAR11 6500000121PITTSBURGH          PA,1.0,Bar,December,28,Spend,AMEX
PENNSYLVANIA MACARONPITTSBURGH          PA,74.63,Grocery,December,28,Spend,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,12.24,Restaurant,December,28,Spend,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,12.24,Restaurant,December,28,Spend,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,20.19,Restaurant,December,28,Spend,AMEX
TST* COOP DEVILLE 00PITTSBURGH          PA,26.08,Restaurant,December,28,Spend,AMEX
TST* ENCLAVE 0008156PITTSBURGH          PA,19.6,Bar,December,28,Spend,AMEX
AplPay STARBUCKS    800-782-7282        WA,10.0,Bar,December,27,Spend,AMEX
PY *PRIMOHOAGIES - SPITTSBURGH          PA,37.39,Restaurant,December,27,Spend,AMEX
VAGARO_*MSTR        PITTSBURGH          PA,78.59,Shopping/Entertainment,December,27,Spend,AMEX
AplPay UBER EATS    help.uber.com       CA,2.0,Restaurant,December,26,Spend,AMEX
AplPay UBER EATS    help.uber.com       CA,12.63,Restaurant,December,26,Spend,AMEX
CHIPOTLE 2655 0000  PITTSBURGH          PA,30.01,Bar,December,26,Spend,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,10.69,Shopping,December,25,Spend,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,13.11,Shopping,December,25,Spend,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,13.11,Shopping,December,25,Spend,AMEX
ARAMARK HEINZ FIELD PITTSBURGH          PA,15.61,Shopping,December,25,Spend,AMEX
GET GO              CRANBERRY TWP       PA,35.7,Gas,December,25,Spend,AMEX
AplPay TST* IRON BORPITTSBURGH          PA,43.87,Restaurant,December,24,Spend,AMEX
AplPay UBER EATS    help.uber.com       CA,21.23,Restaurant,December,23,Spend,AMEX
TARGET        027573PITTSBURGH          PA,125.36,Shopping,December,23,Spend,AMEX
PANDA EXPRESS # 2913PITTSBURGH          PA,11.56,Bar,December,22,Spend,AMEX
PRIMANTI BROS       PITTSBURGH          PA,34.08,Restaurant,December,22,Spend,AMEX
"THREE SQUARE MARKET,RIVER FALLS         WI",6.0,Grocery,December,22,Spend,AMEX
AplPay BT*GO PUFF*GOPHILADELPHIA        PA,32.56,Grocery,December,19,Spend,AMEX
AMEX DUNKIN' CREDIT,-7.0,Bar,December,18,Income,AMEX
Amex Send: Add Money,135.0,Other,December,18,Spend,AMEX
AplPay DUNKIN' MOBILCANTON              MA,11.0,Bar,December,18,Spend,AMEX
CHIPOTLE 1533 0000  PITTSBURGH          PA,12.25,Bar,December,18,Spend,AMEX
MAD MEX SHADYSIDE 00PITTSBURGH          PA,69.0,Restaurant,December,17,Spend,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,Other,December,15,Spend,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,Other,December,15,Spend,AMEX
AplPay TST* TATTE BACAMBRIDGE           MA,30.13,Restaurant,December,15,Spend,AMEX
UBER,47.15,Uber,December,15,Spend,AMEX
MARATHON PETRO255158PITTSBURGH          PA,16.05,Gas,December,15,Spend,AMEX
THE LANGHAM BOSTON  BOSTON              MA,127.0,Restaurant,December,15,Spend,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,Other,December,14,Spend,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,Other,December,14,Spend,AMEX
AplPay MBTA-55000947BOSTON              MA,2.4,Other,December,14,Spend,AMEX
AplPay PTI*WNDRBOSTOCHICAGO             IL,82.0,Shopping/Entertainment,December,14,Spend,AMEX
BOSTONIA PUBLIC HOUSBOSTON              MA,60.05,Restaurant,December,14,Spend,AMEX
WNDR BOSTON         Boston              MA,4.0,Shopping/Entertainment,December,14,Spend,AMEX
10317 CAVA DWTWN CROBOSTON              MA,18.19,Bar,December,13,Spend,AMEX
AplPay STARBUCKS    800-782-7282        WA,10.0,Bar,December,13,Spend,AMEX
THE MERCHANT KITCHENBOSTON              MA,53.5,Restaurant,December,13,Spend,AMEX
TST* CRAFT FOOD HALLBOSTON              MA,19.14,Restaurant,December,13,Spend,AMEX
TST* TATTE BAKERY ONBOSTON              MA,14.04,Restaurant,December,13,Spend,AMEX
MA MAISON 6500000034BOSTON              MA,85.0,Restaurant,December,12,Spend,AMEX
American Express ACH Pmt M8014 Web ID: 2005032111,23.2,CC Payment,December,19,Spend,CHASE
Remote Online Deposit,1.0,Other,December,23,Income,CHASE
Venmo Payment 1039105423155 Web ID: 3264681992,40.0,Venmo,December,23,Spend,CHASE
Venmo Payment 1039105425873 Web ID: 3264681992,20.0,Venmo,December,23,Spend,CHASE
Card Purchase 12/21 Draftkings 6179866744 MA Card 1363,10.0,Gambling,December,23,Spend,CHASE
Card Purchase 12/21 Draftkings 6179866744 MA Card 1363,10.0,Gambling,December,23,Spend,CHASE
Prosper Marketpl Ibi 2024 PPD ID: ACH8446990,164.81,Student Loan Payment,December,24,Spend,CHASE
Real Time Transfer Recd From Aba/Contr Bnk-021000021 From:,49.13,Other,December,26,Income,CHASE
Payment Received 12/26 Draftkings Visa Direct FL Card 1363,402.81,Gambling,December,26,Income,CHASE
Payment Received 12/26 Draftkings Visa Direct FL Card 1363,300.0,Gambling,December,26,Income,CHASE
Payment Received 12/25 Draftkings Visa Direct FL Card 1363,100.0,Gambling,December,26,Income,CHASE
Payment Received 12/26 Draftkings Visa Direct FL Card 1363,50.0,Gambling,December,26,Income,CHASE
Payment Received 12/25 Draftkings Visa Direct FL Card 1363,35.0,Gambling,December,26,Income,CHASE
Card Purchase 12/25 Draftkings 6179866744 MA Card 1363,10.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/25 Draftkings 6179866744 MA Card 1363,10.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/25 Draftkings 6179866744 MA Card 1363,10.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/25 Draftkings 6179866744 MA Card 1363,25.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/26 Draftkings 6179866744 MA Card 1363,100.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/26 Draftkings 6179866744 MA Card 1363,50.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/26 Draftkings 6179866744 MA Card 1363,50.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/26 Draftkings 6179866744 MA Card 1363,50.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/26 Draftkings 6179866744 MA Card 1363,100.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/26 Draftkings 6179866744 MA Card 1363,100.0,Gambling,December,26,Spend,CHASE
Card Purchase 12/26 Draftkings 6179866744 MA Card 1363,400.0,Gambling,December,26,Spend,CHASE
Venmo Payment 1039198346119 Web ID: 3264681992,20.0,Venmo,December,26,Spend,CHASE
Venmo Payment 1039201798763 Web ID: 3264681992,75.61,Venmo,December,26,Spend,CHASE
Deloitte Consult Payrll Dep PPD ID: 1061454513,1554.58,Income,December,27,Income,CHASE
American Express ACH Pmt M3170 Web ID: 2005032111,1958.93,CC Payment,December,27,Spend,CHASE
Online Transfer From Sav ...4061 Transaction#: 23208845614,500.0,Other,December,30,Income,CHASE
Venmo Payment 1039242427330 Web ID: 3264681992,7.0,Venmo,December,30,Spend,CHASE
Card Purchase 12/28 Draftkings 6179866744 MA Card 1363,10.0,Gambling,December,30,Spend,CHASE
Card Purchase 12/29 Amazon Prime*Ze36J09 Amzn.Com/Bill WA,15.89,Utility,December,30,Spend,CHASE
12/29 Payment To Chase Card Ending IN 3112,149.0,CC Payment,December,30,Spend,CHASE
Payment Sent 12/29 Venmo *Will Dimond Visa Direct NY Card 1363,500.0,Venmo,December,30,Spend,CHASE
Applecard Gsbank Payment 17308451 Web ID: 9999999999,116.25,CC Payment,December,30,Spend,CHASE
Nfcu ACH P2P Bart A Thomas Web ID: 9000000011,150.0,Other,December,31,Income,CHASE
American Express Transfer Web ID: 124303243,20.0,Other,December,31,Income,CHASE
Online Transfer From Sav ...4061 Transaction#: 23256646222,95.0,Other,January,2,Income,CHASE
Erie Ins Group Eriexpspay PPD ID: 1256038677,130.58,Other,January,2,Spend,CHASE
Erie Ins Group Eriexpspay PPD ID: 1256038677,11.33,Other,January,2,Spend,CHASE
American Express ACH Pmt M0920 Web ID: 2005032111,456.68,CC Payment,January,2,Spend,CHASE
Payment Sent 01/07 Venmo *Will Dimond Visa Direct NY Card 1363,50.0,Venmo,January,7,Spend,CHASE
Deloitte Consult Payrll Dep PPD ID: 1061454513,1554.6,Income,January,10,Income,CHASE
Deloitte Payments PPD ID: 3135133500,193.5,Income,January,10,Income,CHASE
Payment Received 01/11 Draftkings Visa Direct FL Card 1363,385.0,Gambling,January,13,Income,CHASE
Card Purchase 01/11 Draftkings 6179866744 MA Card 1363,400.0,Gambling,January,13,Spend,CHASE
Payment Sent 01/12 Venmo *Will Dimond Visa Direct NY Card 1363,10.0,Venmo,January,13,Spend,CHASE
Betrivers PA Viatrustly PPD ID: 1218965010,200.0,Gambling,January,21,Income,CHASE
Card Purchase 01/18 Draftkings 6179866744 MA Card 1363,50.0,Gambling,January,21,Spend,CHASE
Card Purchase 01/18 Draftkings 6179866744 MA Card 1363,50.0,Gambling,January,21,Spend,CHASE
Payment Sent 01/18 Venmo *Will Dimond Visa Direct NY Card 1363,33.0,Venmo,January,21,Spend,CHASE
Payment Sent 01/18 Venmo *Will Dimond Visa Direct NY Card 1363,32.0,Venmo,January,21,Spend,CHASE
Card Purchase 01/18 Draftkings 6179866744 MA Card 1363,5.0,Gambling,January,21,Spend,CHASE
Card Purchase 01/18 Draftkings 6179866744 MA Card 1363,5.0,Gambling,January,21,Spend,CHASE
Payment Sent 01/18 Venmo *Will Dimond Visa Direct NY Card 1363,39.53,Venmo,January,21,Spend,CHASE
Card Purchase 01/18 Draftkings 6179866744 MA Card 1363,10.0,Gambling,January,21,Spend,CHASE
Payment Sent 01/20 Venmo *Will Dimond Visa Direct NY Card 1363,30.0,Venmo,January,21,Spend,CHASE
Payment Sent 01/21 Venmo *Will Dimond Visa Direct NY Card 1363,200.0,Venmo,January,21,Spend,CHASE
American Express ACH Pmt M4066 Web ID: 2005032111,731.0,CC Payment,January,22,Spend,CHASE
Deloitte Consult Payrll Dep PPD ID: 1061454513,1547.21,Income,January,24,Income,CHASE
Prosper Marketpl Ibi 2024 PPD ID: ACH8446990,164.81,Student Loan Payment,January,24,Spend,CHASE
American Express ACH Pmt M2536 Web ID: 2005032111,40.0,CC Payment,January,24,Spend,CHASE
Online Transfer From Sav ...4061 Transaction#: 23499895251,589.05,Other,January,27,Income,CHASE
Online Transfer From Sav ...4061 Transaction#: 23499893977,5.95,Other,January,27,Income,CHASE
01/25 Payment To Chase Card Ending IN 3112,150.0,CC Payment,January,27,Spend,CHASE
American Express ACH Pmt M9442 Web ID: 2005032111,2000.51,CC Payment,January,27,Spend,CHASE
Applecard Gsbank Payment 17308451 Web ID: 9999999999,130.25,CC Payment,January,27,Spend,CHASE
Recurring Card Purchase 01/29 Amazon Prime*Z79Hm5V Amzn.Com/Bill,15.89,Utility,January,29,Spend,CHASE
Nfcu ACH P2P Bart A Thomas Web ID: 9000000011,150.0,Other,January,31,Income,CHASE
Erie Ins Group Eriexpspay PPD ID: 1256038677,130.58,Other,February,3,Spend,CHASE
Erie Ins Group Eriexpspay PPD ID: 1256038677,11.33,Other,February,3,Spend,CHASE
Card Purchase 02/02 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,3,Spend,CHASE
Card Purchase 02/02 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,3,Spend,CHASE
Card Purchase 02/02 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,3,Spend,CHASE
Card Purchase 02/02 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,3,Spend,CHASE
Card Purchase 02/06 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,6,Spend,CHASE
Deloitte Consult Payrll Dep PPD ID: 1061454513,1554.6,Income,February,7,Income,CHASE
American Express ACH Pmt M6492 Web ID: 2005032111,1088.66,CC Payment,February,7,Spend,CHASE
Real Time Transfer Recd From Aba/Contr Bnk-021000021 From:,210.63,Other,February,10,Income,CHASE
Card Purchase 02/08 Betrivers PA 8555851401 IL Card 1363,15.0,Gambling,February,10,Spend,CHASE
Card Purchase 02/08 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,10,Spend,CHASE
Venmo Payment 1040171353882 Web ID: 3264681992,34.0,Venmo,February,10,Spend,CHASE
Venmo Payment 1040200305386 Web ID: 3264681992,60.0,Venmo,February,11,Spend,CHASE
Recurring Card Purchase 02/11 Spotify USA 877-7781161 NY Card 1363,12.83,Utility,February,11,Spend,CHASE
Card Purchase 02/13 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,13,Spend,CHASE
Betrivers PA Viatrustly PPD ID: 1218965010,2000.0,Gambling,February,18,Income,CHASE
Betrivers PA Viatrustly PPD ID: 1218965010,1270.0,Gambling,February,18,Income,CHASE
Betrivers PA Viatrustly PPD ID: 1218965010,500.0,Gambling,February,18,Income,CHASE
Card Purchase 02/16 Betrivers PA 8555851401 IL Card 1363,10.0,Gambling,February,18,Spend,CHASE
Card Purchase 02/16 Betrivers PA 8555851401 IL Card 1363,15.0,Gambling,February,18,Spend,CHASE
Card Purchase 02/16 Betrivers PA 8555851401 IL Card 1363,25.0,Gambling,February,18,Spend,CHASE
Card Purchase 02/16 Betrivers PA 8555851401 IL Card 1363,100.0,Gambling,February,18,Spend,CHASE
Payment Sent 02/18 Venmo *Will Dimond Visa Direct NY Card 1363,1682.0,Venmo,February,19,Spend,CHASE
Tpg Products Sbtpg LLC PPD ID: 3722260102,84.98,Other,February,20,Income,CHASE
Betrivers PA Viatrustly Web ID: 1218965010,125.0,Gambling,February,20,Spend,CHASE
