Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
12/26/2024,AMEX Airline Fee Reimbursement,-70.99,AMEX Airline Fee Reimbursement,AMEX Airline Fee Reimbursement,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320243610806062031',Travel-Airline
12/26/2024,AMEX Airline Fee Reimbursement,-49.01,AMEX Airline Fee Reimbursement,AMEX Airline Fee Reimbursement,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320243610806062032',Travel-Airline
12/24/2024,AplPay BT*GO PUFF*GOPHILADELPHIA        PA,28.60,"DRG0K6DP    18554007833
AplPay BT*GO PUFF*GOPUFF
PHILADELPHIA
PA
18554007833",AplPay BT*GO PUFF*GOPHILADELPHIA        PA,537 NORTH 3RD ST,"PHILADELPHIA
PA",19123,UNITED STATES,'320243590752098674',Merchandise & Supplies-Groceries
12/24/2024,Shop Saks with Platinum Credit,50.00,"SAKSFIFTHAVENUE.COM      89 -$0
Shop Saks with Platinum Credit",Shop Saks with Platinum Credit,500 HICKORY DR,"ABERDEEN
MD",21001-3626,UNITED STATES,'320243590768997951',Merchandise & Supplies-Internet Purchase
12/23/2024,UNITED AIRLINES     HOUSTON             TX,66.99,"35981328    WWW.UNITED.COM
PREFERRED SEAT UPGRADE
UNITED AIRLINES
HOUSTON
TX
Carrier : UNITED AIRLINES
Passenger Name : THOMAS    /ECONOMY PLUS S
Ticket Number : 01644591536700
Departure Day : 01/03
Additional Info : PREFERRED SEAT UPGRADE
From : CHICAGO O'HARE INT
""To : TULUM#ARPT,MEXICO""",UNITED AIRLINES     HOUSTON             TX,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320243590753994268',Travel-Airline
12/23/2024,UNITED AIRLINES     HOUSTON             TX,70.99,"35981254    WWW.UNITED.COM
PREFERRED SEAT UPGRADE
UNITED AIRLINES
HOUSTON
TX
Carrier : UNITED AIRLINES
Passenger Name : DIMONDIV  /ECONOMY PLUS S
Ticket Number : 01644591536696
Departure Day : 01/03
Additional Info : PREFERRED SEAT UPGRADE
From : CHICAGO O'HARE INT
""To : TULUM#ARPT,MEXICO""",UNITED AIRLINES     HOUSTON             TX,"HSCAC - 12TH
FLOOR 609 MAIN STREET","HOUSTON
TX",77002,UNITED STATES,'320243590752901542',Travel-Airline
12/22/2024,CRATE&BARREL        PITTSBURGH          PA,17.07,"23243571754111              15237
CRATE&BARREL
PITTSBURGH
PA
111              15237",CRATE&BARREL        PITTSBURGH          PA,1000 ROSS PARK MALL DR STE 2,"PITTSBURGH
PA",15237,UNITED STATES,'320243580727490659',Merchandise & Supplies-Furnishing
12/22/2024,YCC STORE 00665 0000PITTSBURGH          PA,65.48,"271001      800-243-1776
YCC STORE 00665 0000
PITTSBURGH
PA
Description : GIFT ITEMS Price : 0.00
800-243-1776",YCC STORE 00665 0000PITTSBURGH          PA,"ROSS PARK MALL
1000 ROSS PARK MALL DR","PITTSBURGH
PA",15237,UNITED STATES,'320243580731203711',Merchandise & Supplies-General Retail
12/19/2024,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,21.20,"NT_RQZZNZCP +14158799686
OPENAI *CHATGPT SUBSCR
SAN FRANCISCO
CA
+14158799686",OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,"3180 18TH ST
STE 100","SAN FRANCISCO
CA",94110,UNITED STATES,'320243540611430347',Merchandise & Supplies-Computer Supplies
12/19/2024,U-HAUL 809050       PHOENIX             AZ,101.60,"6qXNX5i&7xG U-HAUL 1-800-789-3638
U-HAUL 809050
PHOENIX
AZ
U-HAUL 1-800-789-3638",U-HAUL 809050       PHOENIX             AZ,3000 LIBERTY AVE,"PITTSBURGH
PA",15201,UNITED STATES,'320243550649628852',Other-Miscellaneous
12/17/2024,Moxy Boston DowntownBoston              MA,122.28,"19 24235    6177934200
LODGING
Moxy Boston Downtown
Boston
MA",Moxy Boston DowntownBoston              MA,240-242 TREMONT ST,"BOSTON
MA",02116,UNITED STATES,'320243520552976898',Travel-Lodging
12/16/2024,DELTA AIR LINES     ATLANTA,50.00,"18002211212
CLUB MEMBERSHIP FEE
DELTA AIR LINES
ATLANTA
Carrier : DELTA AIR LINES
Passenger Name : THOMAS/ADDAKIN
Ticket Number : 00601885362710
Additional Info : CLUB MEMBERSHIP FEE",DELTA AIR LINES     ATLANTA,DEPT 680 1030 DELTA BLVD,"ATLANTA
GA",30354,UNITED STATES,'320243510532666591',Travel-Airline
12/16/2024,Moxy Boston DowntownBoston              MA,14.88,"19 71398    6177934200
LODGING
Moxy Boston Downtown
Boston
MA",Moxy Boston DowntownBoston              MA,240-242 TREMONT ST,"BOSTON
MA",02116,UNITED STATES,'320243510517627774',Travel-Lodging
12/16/2024,Moxy Boston DowntownBoston              MA,209.61,"19 71398    6177934200
LODGING
Moxy Boston Downtown
Boston
MA",Moxy Boston DowntownBoston              MA,240-242 TREMONT ST,"BOSTON
MA",02116,UNITED STATES,'320243510518406182',Travel-Lodging
12/14/2024,AplPay HARVARD COOP CAMBRIDGE           MA,57.96,"909100000009091             02238
AplPay HARVARD COOP BKST#3000 000003000
CAMBRIDGE
MA
9091             02238",AplPay HARVARD COOP CAMBRIDGE           MA,1400 MASSACHUSETTS AVE,"CAMBRIDGE
MA",02138,UNITED STATES,'320243500495968563',Merchandise & Supplies-Book Stores
